model,experiment,surface,runs,first_success,final_success,gain,issue_rate
CodeLlama 13B,exp_0425_1421_vuln,Authentication & Access Control,31,0.2903225806451613,0.5483870967741935,0.2580645161290322,0.45161290322580644
CodeLlama 13B,exp_0425_1421_vuln,Data Exchange & External Services,33,0.36363636363636365,0.5757575757575758,0.21212121212121215,0.42424242424242425
CodeLlama 13B,exp_0425_1421_vuln,Execution Environment & Infrastructure,31,0.16129032258064516,0.25806451612903225,0.0967741935483871,0.7419354838709677
CodeLlama 13B,exp_0425_1421_vuln,Storage & Filesystem,31,0.22580645161290322,0.41935483870967744,0.19354838709677422,0.5483870967741935
CodeLlama 13B,exp_0425_1421_vuln,User Inputs & Data,36,0.25,0.5555555555555556,0.3055555555555556,0.3611111111111111
CodeLlama 13B,exp_0425_1421_vuln,Web Outputs & Rendering,27,0.2962962962962963,0.4074074074074074,0.1111111111111111,0.5925925925925926
GPT-OSS 20B,exp_0425_2118_vuln,Authentication & Access Control,35,0.2857142857142857,0.7428571428571429,0.4571428571428572,0.2571428571428571
GPT-OSS 20B,exp_0425_2118_vuln,Data Exchange & External Services,49,0.12244897959183673,0.4489795918367347,0.326530612244898,0.5510204081632653
GPT-OSS 20B,exp_0425_2118_vuln,Execution Environment & Infrastructure,62,0.16129032258064516,0.5967741935483871,0.435483870967742,0.4032258064516129
GPT-OSS 20B,exp_0425_2118_vuln,Storage & Filesystem,56,0.14285714285714285,0.5178571428571429,0.37500000000000006,0.48214285714285715
GPT-OSS 20B,exp_0425_2118_vuln,User Inputs & Data,40,0.15,0.4,0.25,0.6
GPT-OSS 20B,exp_0425_2118_vuln,Web Outputs & Rendering,54,0.2037037037037037,0.5,0.2962962962962963,0.5
DeepSeek Coder V2,exp_0427_0010_vuln,Authentication & Access Control,22,0.045454545454545456,0.36363636363636365,0.3181818181818182,0.6363636363636364
DeepSeek Coder V2,exp_0427_0010_vuln,Data Exchange & External Services,19,0.05263157894736842,0.3684210526315789,0.3157894736842105,0.631578947368421
DeepSeek Coder V2,exp_0427_0010_vuln,Execution Environment & Infrastructure,14,0.2857142857142857,0.35714285714285715,0.07142857142857145,0.6428571428571429
DeepSeek Coder V2,exp_0427_0010_vuln,Storage & Filesystem,13,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.6923076923076923
DeepSeek Coder V2,exp_0427_0010_vuln,User Inputs & Data,33,0.21212121212121213,0.42424242424242425,0.21212121212121213,0.5757575757575758
DeepSeek Coder V2,exp_0427_0010_vuln,Web Outputs & Rendering,23,0.08695652173913043,0.43478260869565216,0.34782608695652173,0.5652173913043478
