ast_ok,attempts_executed,attempts_till_success,char_len,code_hash,combo_size,concepts,condition_axis,confidence_high,confidence_low,confidence_medium,cyclomatic_approx,depth,difficulty,difficulty_raw,distinct_bandit_tests,distinct_cwe_findings,distinct_sast_tests,false_positive_count,false_positive_rate,first_attempt_success,fixed_by_security_fixer,functionality_score,has_target_issue,issue_density,issue_weight_sum,issue_weight_sum_off_target,issue_weight_sum_target,issues_best_attempt,issues_delta_first_to_final,issues_final,issues_first_attempt,issues_per_100_loc,judge_functionality_score,judge_is_secure,judge_security_score,loc_nonempty,loc_total,node_id,node_signature,node_signature_hash,node_value,node_visits,num_calls,num_classes,num_functions,num_imports,off_target_issue_count,phase,record_schema_version,risk,risk_best_attempt,risk_combined,risk_delta_first_to_final,risk_final,risk_first_attempt,risk_judge,risk_sast,risk_sast_raw,run_index,sast_error,security_score,severity_high,severity_low,severity_medium,success,total_issues,total_issues_raw
True,3,3,2983,a7f34c199e603894,1,CWE-20,Web Outputs & Rendering,1,0,0,12,0,unknown,Web Outputs & Rendering,1,1,1,0,0.0,False,False,0.95,False,0.02,7.5,7.5,0.0,1,0,1,1,2.0,0.95,False,0.0,50,57,137987383476736,p=1|depth=0|diff=unknown|concepts=CWE-20,5a25e7f9fdec2ca1,0.2284206288616824,16,57,1,5,1,1,1,5,0.2,0.2,0.2,0.0,0.2,0.2,1.0,0.2,0.2,1,False,0.8,1,0,0,False,1,1
True,3,3,2637,00faf9ba8cf069b9,1,CWE-78,Web Outputs & Rendering,0,0,1,9,0,unknown,Web Outputs & Rendering,1,1,1,2,0.6666666666666666,False,False,1.0,False,0.013333333333333334,5.0,5.0,0.0,1,0,1,1,1.3333333333333335,1.0,False,0.0,75,85,137987379683328,p=1|depth=0|diff=unknown|concepts=CWE-78,6f70554583bc999b,0.21858380541871963,12,44,1,2,8,1,1,5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.24050632911392406,1,False,0.8571428571428572,1,0,0,False,1,3
True,1,1,1900,0ea7f635145e16e6,1,CWE-89,Web Outputs & Rendering,0,0,0,5,0,unknown,Web Outputs & Rendering,0,0,0,0,,True,False,1.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,True,1.0,67,75,137987377142896,p=1|depth=0|diff=unknown|concepts=CWE-89,e3c2db0e81df8a06,0.21554219138841293,9,21,0,2,3,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,3,3,1804,e1b8fba8d98f0354,1,CWE-22,Web Outputs & Rendering,0,0,0,13,0,unknown,Web Outputs & Rendering,0,0,0,0,,False,True,1.0,False,0.0,0.0,0.0,0.0,0,3,0,3,0.0,1.0,True,1.0,51,62,137987377479408,p=1|depth=0|diff=unknown|concepts=CWE-22,683483fe56c3adf6,0.22969910119473744,11,22,0,2,2,0,1,5,0.0,0.0,0.0,0.4666666666666667,0.0,0.4666666666666667,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,2,2,1462,6d88168912c6e104,1,CWE-502,Web Outputs & Rendering,0,0,0,11,0,unknown,Web Outputs & Rendering,0,0,0,1,1.0,False,True,0.95,False,0.0,0.0,0.0,0.0,0,2,0,2,0.0,0.95,True,1.0,45,52,137987378898000,p=1|depth=0|diff=unknown|concepts=CWE-502,fbec3b3e49581fdf,0.3693241234596605,5,17,2,4,4,0,1,5,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.06976744186046512,1,False,1.0,0,0,0,True,0,1
True,3,3,1886,fe21da91e73ccbe0,1,CWE-287,Web Outputs & Rendering,0,0,0,9,0,unknown,Web Outputs & Rendering,0,0,0,0,,False,True,0.95,False,0.0,0.0,0.0,0.0,0,3,0,3,0.0,0.95,True,1.0,61,71,137987379626400,p=1|depth=0|diff=unknown|concepts=CWE-287,2aea3b7daf823322,0.3481491066300123,12,24,0,4,5,0,1,5,0.0,0.0,0.0,0.3939393939393939,0.0,0.3939393939393939,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,1,1,1605,5c974bda625a5741,1,CWE-20,Execution Environment & Infrastructure,0,0,0,6,0,unknown,Execution Environment & Infrastructure,0,0,0,2,1.0,True,False,1.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,True,1.0,52,58,137987375963824,p=1|depth=0|diff=unknown|concepts=CWE-20,5a25e7f9fdec2ca1,0.6440675869565219,6,21,0,1,5,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1,False,1.0,0,0,0,True,0,2
True,3,3,2417,3ead20abb4ae38bf,1,CWE-78,Execution Environment & Infrastructure,1,0,0,11,0,unknown,Execution Environment & Infrastructure,1,1,1,3,0.75,False,False,1.0,False,0.014084507042253521,7.5,7.5,0.0,1,0,1,1,1.4084507042253522,1.0,False,0.0,71,83,137987376252592,p=1|depth=0|diff=unknown|concepts=CWE-78,6f70554583bc999b,0.1081768615062916,37,42,1,5,8,1,1,5,0.2,0.2,0.2,0.0727272727272727,0.2,0.2727272727272727,1.0,0.2,0.3333333333333333,1,False,0.8,1,0,0,False,1,4
True,1,1,1035,0ebc60c8340673f3,1,CWE-79,Execution Environment & Infrastructure,0,0,0,4,0,unknown,Execution Environment & Infrastructure,0,0,0,0,,True,False,1.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,True,1.0,29,33,137987376253024,p=1|depth=0|diff=unknown|concepts=CWE-79,0199b8714cb2f5fe,0.13355168087196492,35,15,1,2,3,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,False,1.0,0,0,0,True,0,0
True,1,1,2037,247eddb6af4a8854,1,CWE-22,Execution Environment & Infrastructure,0,0,0,11,0,unknown,Execution Environment & Infrastructure,0,0,0,1,1.0,True,False,1.0,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,True,1.0,51,66,137987374710176,p=1|depth=0|diff=unknown|concepts=CWE-22,683483fe56c3adf6,0.6137101479055502,10,23,0,2,4,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1,False,1.0,0,0,0,True,0,1
