anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,group_failure_share,group_support,overall_failure_share,overall_support,pattern_id,primary_reason,specificity_lift,summary,target_cwe
sast_test,bandit:B102,Persistent target findings on bandit:B102,Storage & Filesystem,CWE-20,0.06666666666666667,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B102,unresolved_target_findings,2.7333333333333334,Persistent target findings on bandit:B102 appeared in 1/15 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B102`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-20
sast_test,bandit:B310,Persistent target findings on bandit:B310,Data Exchange & External Services,CWE-20,0.06666666666666667,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B310,unresolved_target_findings,2.7333333333333334,Persistent target findings on bandit:B310 appeared in 1/15 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B310`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-20
sast_test,bandit:B201,Persistent target findings on bandit:B201,Data Exchange & External Services,CWE-20,0.06666666666666667,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B201,unresolved_target_findings,2.7333333333333334,Persistent target findings on bandit:B201 appeared in 1/15 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-20
sast_test,codeql:py/stack-trace-exposure,Off-target findings introduced via codeql:py/stack-trace-exposure,Data Exchange & External Services,CWE-20,0.06666666666666667,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:codeql:py/stack-trace-exposure,unresolved_off_target_findings,2.7333333333333334,Off-target findings introduced via codeql:py/stack-trace-exposure appeared in 1/15 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `codeql:py/stack-trace-exposure`. Most recurrent unresolved final CWE: `CWE-209`.,CWE-20
sast_test,bandit:B201,Off-target findings introduced via bandit:B201,Data Exchange & External Services,CWE-20,0.2,3,0.14634146341463414,6,unresolved_off_target_findings::sast_test:bandit:B201,unresolved_off_target_findings,1.366666666666667,Off-target findings introduced via bandit:B201 appeared in 3/15 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B201`. Most recurrent unresolved final CWE: `CWE-94`.,CWE-20
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Storage & Filesystem,CWE-22,0.2222222222222222,4,0.0975609756097561,4,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,2.2777777777777777,Persistent target findings on codeql:py/path-injection appeared in 4/18 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
sast_test,bandit:B104,Persistent target findings on bandit:B104,User Inputs & Data,CWE-22,0.16666666666666666,3,0.07317073170731707,3,unresolved_target_findings::sast_test:bandit:B104,unresolved_target_findings,2.2777777777777777,Persistent target findings on bandit:B104 appeared in 3/18 failed runs and was most common on `User Inputs & Data` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B104`. Most recurrent unresolved final CWE: `CWE-605`.,CWE-22
sast_test,bandit:B103,Off-target findings introduced via bandit:B103,Storage & Filesystem,CWE-22,0.05555555555555555,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B103,unresolved_off_target_findings,2.2777777777777777,Off-target findings introduced via bandit:B103 appeared in 1/18 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B103`. Most recurrent unresolved final CWE: `CWE-732`.,CWE-22
sast_test,bandit:B314,Off-target findings introduced via bandit:B314,Data Exchange & External Services,CWE-22,0.05555555555555555,1,0.024390243902439025,1,unresolved_off_target_findings::sast_test:bandit:B314,unresolved_off_target_findings,2.2777777777777777,Off-target findings introduced via bandit:B314 appeared in 1/18 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B314`. Most recurrent unresolved final CWE: `CWE-20`.,CWE-22
sast_test,bandit:B310,Persistent target findings on bandit:B310,Data Exchange & External Services,CWE-20,0.05555555555555555,1,0.024390243902439025,1,unresolved_target_findings::sast_test:bandit:B310,unresolved_target_findings,2.2777777777777777,Persistent target findings on bandit:B310 appeared in 1/18 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-20`. Most recurrent unresolved SAST test: `bandit:B310`. Most recurrent unresolved final CWE: `CWE-22`.,CWE-22
