anchor_type,anchor_value,code_failure_pattern_label,dominant_attack_surface,dominant_target_cwe,failure_share,pattern_id,primary_reason,summary,support
sast_test,bandit:B404,Persistent target findings on bandit:B404,Storage & Filesystem,CWE-78,0.15841584158415842,unresolved_target_findings::sast_test:bandit:B404,unresolved_target_findings,Persistent target findings on bandit:B404 appeared in 16/101 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-78`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,16
sast_test,bandit:B301,Persistent target findings on bandit:B301,Execution Environment & Infrastructure,CWE-502,0.1485148514851485,unresolved_target_findings::sast_test:bandit:B301,unresolved_target_findings,Persistent target findings on bandit:B301 appeared in 15/101 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B301`. Most recurrent unresolved final CWE: `CWE-502`.,15
generic,,Syntax errors in generated code,Authentication & Access Control,CWE-78,0.12871287128712872,syntax_error,syntax_error,Syntax errors in generated code appeared in 13/101 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-78`.,13
sast_test,bandit:B603,Persistent target findings on bandit:B603,Storage & Filesystem,CWE-78,0.09900990099009901,unresolved_target_findings::sast_test:bandit:B603,unresolved_target_findings,Persistent target findings on bandit:B603 appeared in 10/101 failed runs and was most common on `Storage & Filesystem` while targeting `CWE-78`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,10
sast_test,codeql:py/path-injection,Persistent target findings on codeql:py/path-injection,Data Exchange & External Services,CWE-22,0.07920792079207921,unresolved_target_findings::sast_test:codeql:py/path-injection,unresolved_target_findings,Persistent target findings on codeql:py/path-injection appeared in 8/101 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-22`. Most recurrent unresolved SAST test: `codeql:py/path-injection`. Most recurrent unresolved final CWE: `CWE-22`.,8
sast_test,bandit:B105,Off-target findings introduced via bandit:B105,Web Outputs & Rendering,CWE-502,0.04950495049504951,unresolved_off_target_findings::sast_test:bandit:B105,unresolved_off_target_findings,Off-target findings introduced via bandit:B105 appeared in 5/101 failed runs and was most common on `Web Outputs & Rendering` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B105`. Most recurrent unresolved final CWE: `CWE-259`.,5
sast_test,bandit:B403,Persistent target findings on bandit:B403,Data Exchange & External Services,CWE-502,0.04950495049504951,unresolved_target_findings::sast_test:bandit:B403,unresolved_target_findings,Persistent target findings on bandit:B403 appeared in 5/101 failed runs and was most common on `Data Exchange & External Services` while targeting `CWE-502`. Most recurrent unresolved SAST test: `bandit:B403`. Most recurrent unresolved final CWE: `CWE-502`.,5
sast_test,codeql:py/weak-sensitive-data-hashing,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing,Authentication & Access Control,CWE-502,0.0297029702970297,unresolved_off_target_findings::sast_test:codeql:py/weak-sensitive-data-hashing,unresolved_off_target_findings,Off-target findings introduced via codeql:py/weak-sensitive-data-hashing appeared in 3/101 failed runs and was most common on `Authentication & Access Control` while targeting `CWE-502`. Most recurrent unresolved SAST test: `codeql:py/weak-sensitive-data-hashing`. Most recurrent unresolved final CWE: `CWE-327`.,3
sast_test,bandit:B404,Off-target findings introduced via bandit:B404,Execution Environment & Infrastructure,CWE-22,0.019801980198019802,unresolved_off_target_findings::sast_test:bandit:B404,unresolved_off_target_findings,Off-target findings introduced via bandit:B404 appeared in 2/101 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-22`. Most recurrent unresolved SAST test: `bandit:B404`. Most recurrent unresolved final CWE: `CWE-78`.,2
sast_test,bandit:B603,Off-target findings introduced via bandit:B603,Execution Environment & Infrastructure,CWE-287,0.019801980198019802,unresolved_off_target_findings::sast_test:bandit:B603,unresolved_off_target_findings,Off-target findings introduced via bandit:B603 appeared in 2/101 failed runs and was most common on `Execution Environment & Infrastructure` while targeting `CWE-287`. Most recurrent unresolved SAST test: `bandit:B603`. Most recurrent unresolved final CWE: `CWE-78`.,2
