attack_surface,failed_run_share_within_surface,failed_runs_with_reason,primary_reason,surface_failed_runs,surface_runs
User Inputs & Data,0.0625,1,unresolved_off_target_findings,16,36
User Inputs & Data,0.6875,11,unresolved_target_findings,16,36
User Inputs & Data,0.1875,3,syntax_error,16,36
User Inputs & Data,0.0625,1,no_code,16,36
Web Outputs & Rendering,0.25,4,unresolved_off_target_findings,16,27
Web Outputs & Rendering,0.5,8,unresolved_target_findings,16,27
Web Outputs & Rendering,0.25,4,syntax_error,16,27
Web Outputs & Rendering,0.0,0,no_code,16,27
Storage & Filesystem,0.0,0,unresolved_off_target_findings,18,31
Storage & Filesystem,0.8888888888888888,16,unresolved_target_findings,18,31
Storage & Filesystem,0.05555555555555555,1,syntax_error,18,31
Storage & Filesystem,0.05555555555555555,1,no_code,18,31
Authentication & Access Control,0.42857142857142855,6,unresolved_off_target_findings,14,31
Authentication & Access Control,0.2857142857142857,4,unresolved_target_findings,14,31
Authentication & Access Control,0.2857142857142857,4,syntax_error,14,31
Authentication & Access Control,0.0,0,no_code,14,31
Data Exchange & External Services,0.21428571428571427,3,unresolved_off_target_findings,14,33
Data Exchange & External Services,0.7857142857142857,11,unresolved_target_findings,14,33
Data Exchange & External Services,0.0,0,syntax_error,14,33
Data Exchange & External Services,0.0,0,no_code,14,33
Execution Environment & Infrastructure,0.2608695652173913,6,unresolved_off_target_findings,23,31
Execution Environment & Infrastructure,0.6956521739130435,16,unresolved_target_findings,23,31
Execution Environment & Infrastructure,0.043478260869565216,1,syntax_error,23,31
Execution Environment & Infrastructure,0.0,0,no_code,23,31
